index,distribution
GzNSRz0UEgw-5,"[0.10072060838593963, 0.07826133798877008, 0.05501845391887871, 0.05781064306733818, 0.04355531751061059, 0.15112434831974073, 0.20243854994868096, 0.08021591332231186, 0.10104528697217714, 0.12980954056555258]"
GzNSRz0UEgw-6,"[0.09764499285937145, 0.23298238087646678, 0.06964641946338986, 0.001522255366965704, 0.19011227845265274, 0.00036700973989150875, 0.0707447694353548, 0.0002459712859774021, 0.16475061498851887, 0.17198330753141114]"
GzNSRz0UEgw-7,"[0.06795612229626724, 0.047723022009642166, 0.13280607493769328, 0.03972830024557209, 0.039252923748936255, 0.09167689272724822, 0.20921595229389878, 0.05677336571318147, 0.1834123431878563, 0.13145500283970424]"
GzNSRz0UEgw-8,"[0.061720661974002715, 2.1784395373382854e-05, 0.14804878207248742, 0.020472141289959667, 0.029467482613537408, 0.14724354808724135, 0.2776891711997406, 0.022066930587355694, 0.2028085937412854, 0.09046090403901685]"
GzNSRz0UEgw-9,"[0.08084492269057071, 0.08113627170555512, 0.024329855239798744, 0.034731662315086946, 0.08821334396130047, 0.10333275028237987, 0.0825327944880145, 0.2826616884976518, 0.012966901032404915, 0.20924980978723687]"
GzNSRz0UEgw-10,"[0.012385852146068287, 0.04453007892435722, 0.1212717212114425, 0.07263765407568086, 0.09372188309714975, 0.11730187919413675, 0.08139001289312157, 0.1906907575952773, 0.16694232471974166, 0.09912783614302377]"
GzNSRz0UEgw-11,"[0.028060628211680257, 0.0031442187712506196, 0.05402515836709399, 0.035100951474928636, 0.04312663928126541, 0.12714643794085315, 0.2357169985766789, 0.05099883148892134, 0.1533827092436292, 0.2692974266436987]"
-Plz3v68kjY-1,"[0.07226109111377124, 0.03985053562880974, 0.09012858915361316, 0.08518129490939749, 0.05563635993367019, 0.1736292379983837, 0.15735875123941281, 0.12433207952390445, 0.06637157521858368, 0.13525048528045358]"
-Plz3v68kjY-2,"[0.19175625137593733, 9.37235594537593e-05, 0.16828195188172665, 0.0003831794845479374, 0.07471592741678035, 0.01213409244360897, 0.015533262825609137, 0.18024992343329324, 0.0009396463191199135, 0.35591204125992276]"
-Plz3v68kjY-3,"[0.0896434360941489, 0.027558624327512497, 0.10657570328659091, 0.07493219929069804, 0.03175575953890006, 0.09850146457024482, 0.15468119505939112, 0.13859840378385835, 0.12021685781042482, 0.15753635623823056]"
-Plz3v68kjY-4,"[0.0008637251851008267, 0.0004255598007854246, 0.014900002489611704, 0.2140816391868238, 0.20103646737728342, 0.057661874571801865, 0.2708029999729999, 0.135049496999576, 0.05034861460962449, 0.05482961980639264]"
-Plz3v68kjY-5,"[0.000930125088510246, 5.409230705076549e-05, 0.1800788475669409, 0.03951709246778402, 0.32967104523614976, 0.00010363672698469566, 0.23030625014386583, 0.021967347275966363, 0.19732649022542684, 4.5072961320780254e-05]"
